Type	Category	Concept	Grade	Time (mins)	Name	Source	Description
Lessons	Coding	Algorithms, debugging, conditionals	3+	Varies	Getting started with code 2	https://itunes.apple.com/us/book/get-started-with-code-2/id1226776857?mt=11	In this interactive book developed by Apple, there are several unplugged lessons related to algorithms, debugging, and conditionals. 
Lessons	Coding	Mathematics	4+	NA	UCL ScratchMaths Curriculum	https://www.ucl.ac.uk/ioe/research/projects/scratchmaths/curriculum-materials	ScratchMaths is a two-year computing and mathematics-based curriculum for grades four and five. Its aim is to enable pupils to engage with and explore important mathematical ideas through learning to program. These resources focus on learning mathematics through Scratch.
Resource	Computer science	Computing systems, data and analysis, networks and the internet, and impacts of computing	K-5	NA	K-5 CS: NOT Just Coding	https://sites.google.com/view/k5csnotjustcoding/home?authuser=0	"The purpose of the K-5 CS is NOT Just Coding: Teaching Non-Algorithms & Programming Standards Workshop and this companion website is to help K-5 teachers of CS:

~Understand that Computer Science is more than just coding and why it is important to teach standards beyond Algorithms and Programming
~Understand what students need to know and be able to do to meet each standard
~Explore activities, websites, lessons to understand how the non-Algorithms and Programming standards might be taught
~Understand ways in which the Impacts of Computing Standards can be integrated into the other concept areas of CS and other curricular areas"
Resource	Coding	Algorithms	NA	NA	How do computer games work?	http://www.bbc.co.uk/guides/zchc4wx	A short video on how computer gams work (access may be geographic region).
Resource	Coding	Algorithms	NA	NA	How do you program a robot?	http://www.bbc.co.uk/guides/zqnc4wx	A short video on programming robots (access may be geographic region).
Resource	Coding	Algorithms	NA	NA	How to explain algorithms to kids	https://www.tynker.com/blog/articles/ideas-and-tips/how-to-explain-algorithms-to-kids/	A short article on how to explain algorithms to kids.
Resource	Coding	Algorithms	NA	NA	What is an algorithm?	http://www.bbc.co.uk/guides/z3whpv4	A short video on algorithms (access may be geographic region).
Resource	Coding	Algorithms	NA	NA	What is coding?	http://www.bbc.co.uk/guides/zykx6sg	A short video explaining coding (access may be geographic region).
Resource	Coding	Debugging	NA	NA	What are computer bugs?	http://www.bbc.co.uk/guides/ztgjq6f	A short video on computer bugs (access may be geographic region).
Resource	Coding	Demonstration	NA	NA	Computer Science Class Clips	http://www.bbc.co.uk/education/topics/z3tbwmn/resources/1	Short videos demonstrating computer science classes.
